id,name,organization
soren-auer,Soren Auer,Technische Informationsbibliothek
oscar-corcho,Oscar Corcho,Universidad Politécnica de Madrid
emanuele-della-valle,Emanuele Della Valle,Politecnico di Milano
aidan-hogan,Aidan Hogan,Universidad de Chile
craig-knoblock,Craig Knoblock,University of Southern California
manolis-koubarakis,Manolis Koubarakis,National & Kapodistrian University of Athens
frank-michael,Frank Michael,"Université Côte d'Azur, CNRS, Inria, I3S "
claus-stadler,Claus Stadler,Leipzig University
ruben-verborgh,Ruben Verborgh,"IDLab, Ghent University – imec"
boris-villazón-terrazas,Boris Villazón-Terrazas,Arvato
amrapali-zaveri,Amrapali Zaveri,Maastricht University
antoine-zimmermann,Antoine Zimmermann,École des Mines de Saint-Étienne